3.77E+02	0.98366649962077E-02	2.73E+01
3.39E+02	0.15127063023555E-01	-2.58E+00
3.19E+02	0.32264113903805E-02	-1.73E+01
3.18E+02	0.31934427708918E+00	6.09E+02
3.15E+02	0.25978598885734E-01	3.00E+01
3.08E+02	0.33671167937124E-02	2.24E+01
2.96E+02	0.11999599882309E+00	-1.80E+02
2.88E+02	0.25192258162975E-01	1.19E+01
2.83E+02	0.16964619534705E-02	9.00E+00
2.79E+02	0.32036875187077E-01	-3.42E+01
2.77E+02	0.22953833692977E-01	1.38E+01
2.76E+02	0.25499012550191E-03	-8.99E-01
2.70E+02	0.28696569387299E-01	1.49E+01
2.61E+02	0.39297150035624E-01	1.78E+01
2.61E+02	0.10396857163153E+00	-3.06E+01
2.53E+02	0.30161032132584E+00	-7.76E+00
2.52E+02	0.50245553289060E+00	-2.34E+02
2.46E+02	0.15155683850828E-01	2.17E+01
2.46E+02	0.16941858622840E-01	2.33E+01
2.39E+02	0.16237462107175E+00	-1.47E+02
2.35E+02	0.10856754014226E-01	-1.25E+01
2.32E+02	0.12880951598817E-01	2.31E+00
2.32E+02	0.19799025288415E-02	8.21E+00
2.31E+02	0.31080875972963E+00	-3.37E+02
2.23E+02	0.58162411453424E-01	-9.21E+01
2.20E+02	0.90136580053288E-01	9.57E+01
2.18E+02	0.93205453289031E-01	-7.87E+01
2.18E+02	0.24608739726593E-01	8.06E+01
2.16E+02	0.48328796355012E-03	1.36E+01
2.15E+02	0.20786188578054E+00	2.51E+02
2.13E+02	0.99108034356043E-01	8.00E+00
2.11E+02	0.17904836411319E+00	-9.83E+00
2.06E+02	0.10509478298929E-01	-3.05E+01
2.05E+02	-.67859328798227E-04	3.00E+00
2.01E+02	0.32801387165382E-01	5.52E+00
2.00E+02	0.44609301468411E-02	1.74E+01
2.00E+02	0.15528524466408E-02	9.57E+00
1.99E+02	0.21376683023736E-01	5.87E+00
1.97E+02	0.20681520211564E-01	-4.70E+01
1.96E+02	0.58257419021868E-01	1.00E+01

